ts,listing_key,kodagar,antal_sokande
2026-07-01T00:39:39+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T00:39:39+02:00,4415-0103-052__2026-06-29,932,8
2026-07-01T00:39:39+02:00,4415-0109-004__2026-06-29,939,5
2026-07-01T00:39:39+02:00,4703-1506-1507__2026-06-29,90,2
2026-07-01T00:39:39+02:00,4703-1508-1709__2026-06-29,661,3
2026-07-01T00:39:39+02:00,5102-3203-011__2026-06-29,245,4
2026-07-01T00:39:39+02:00,5102-3205-022__2026-06-29,245,5
2026-07-01T00:39:39+02:00,5102-3210-025__2026-06-29,166,6
2026-07-01T00:39:39+02:00,7404-2203-018__2026-06-29,90,6
2026-07-01T00:39:39+02:00,5201-0102-043__2026-06-29,245,4
2026-07-01T00:39:39+02:00,5201-0108-012__2026-06-29,253,5
2026-07-01T00:39:39+02:00,5201-0110-013__2026-06-29,306,4
2026-07-01T00:39:39+02:00,7404-2304-016__2026-06-29,315,5
2026-07-01T00:39:39+02:00,7404-2204-024__2026-06-29,315,5
2026-07-01T00:39:39+02:00,7505-2102-004__2026-06-29,90,7
2026-07-01T00:39:39+02:00,7505-1903-012__2026-06-29,90,7
2026-07-01T00:39:39+02:00,7707-0305-006__2026-06-29,273,5
2026-07-01T00:39:39+02:00,7707-1201-006__2026-06-29,90,7
2026-07-01T00:39:39+02:00,7808-1003-044__2026-06-29,90,6
2026-07-01T00:39:39+02:00,7707-0606-012__2026-06-29,362,6
2026-07-01T03:32:32+02:00,7202-6503-102__2026-06-29,89,3
2026-07-01T03:32:32+02:00,6303-5102-1003__2026-06-29,0,0
2026-07-01T03:32:32+02:00,6303-5103-1106__2026-06-29,89,2
2026-07-01T03:32:32+02:00,6303-5104-1212__2026-06-29,89,2
2026-07-01T03:32:32+02:00,6303-5105-1317__2026-06-29,89,4
2026-07-01T03:32:32+02:00,6303-5102-1006__2026-06-29,49,2
2026-07-01T03:32:32+02:00,6303-5103-1112__2026-06-29,73,1
2026-07-01T03:32:32+02:00,6303-5104-1204__2026-06-29,73,1
2026-07-01T03:32:32+02:00,6303-5105-1318__2026-06-29,89,2
2026-07-01T03:32:32+02:00,7202-6505-107__2026-06-29,89,1
2026-07-01T03:32:32+02:00,6202-2102-1010__2026-06-29,49,2
2026-07-01T03:32:32+02:00,6202-2103-1112__2026-06-29,33,3
2026-07-01T03:32:32+02:00,7202-4703-106__2026-06-29,20,2
2026-07-01T03:32:32+02:00,7202-5304-102__2026-06-29,32,1
2026-07-01T03:32:32+02:00,7202-6102-104__2026-06-29,89,1
2026-07-01T03:32:32+02:00,4210-0103-037__2026-06-29,2,1
2026-07-01T03:32:32+02:00,4210-0104-014__2026-06-29,314,5
2026-07-01T03:32:32+02:00,4210-0117-008__2026-06-29,314,6
2026-07-01T03:32:32+02:00,4210-0115-003__2026-06-29,391,5
2026-07-01T03:32:32+02:00,5102-3604-007__2026-06-29,41,2
